21,27,23,37,39,08,1/3/2013
33,31,19,23,28,15,1/5/2013
08,23,20,21,02,33,1/8/2013
42,39,03,30,15,41,1/10/2013
30,27,14,34,05,41,1/12/2013
22,18,09,10,05,01,1/15/2013
35,08,36,32,42,28,1/17/2013
40,26,22,04,35,10,1/19/2013
21,27,08,16,17,34,1/22/2013
34,41,12,24,33,19,1/24/2013
14,36,28,34,12,42,1/26/2013
35,41,23,14,30,36,1/29/2013
30,16,29,13,41,09,1/31/2013
11,42,40,27,31,18,2/2/2013
11,19,33,42,15,28,2/5/2013
09,42,02,22,17,19,2/7/2013
38,11,15,19,27,10,2/9/2013
17,30,13,39,05,19,2/12/2013
19,20,41,04,34,16,2/14/2013
37,01,28,08,12,06,2/16/2013
07,11,27,26,24,16,2/19/2013
33,10,30,09,02,20,2/21/2013
31,24,35,08,22,34,2/23/2013
16,17,24,05,22,26,2/26/2013
35,30,25,20,14,13,2/28/2013
16,07,05,20,02,40,3/2/2013
40,05,41,37,03,16,3/5/2013
08,38,11,26,18,40,3/7/2013
32,35,36,20,12,16,3/9/2013
34,02,42,21,31,26,3/12/2013
40,15,17,06,07,32,3/14/2013
14,17,29,04,38,30,3/16/2013
11,07,33,31,02,14,3/19/2013
29,21,25,30,16,35,3/21/2013
29,35,15,22,07,01,3/23/2013
41,31,32,38,03,20,3/26/2013
23,05,37,08,01,24,4/2/2013
39,40,31,06,04,27,4/4/2013
41,01,30,22,07,24,4/6/2013
31,27,24,30,29,05,4/9/2013
17,24,22,06,07,19,4/11/2013
22,11,03,24,18,39,4/13/2013
28,23,07,17,26,12,4/16/2013
24,08,16,31,18,33,4/18/2013
33,15,25,12,31,19,4/20/2013
30,33,14,37,39,13,4/23/2013
32,26,05,16,20,02,4/25/2013
40,03,06,19,14,39,4/27/2013
26,36,03,37,33,20,4/30/2013
28,18,16,12,02,05,5/2/2013
21,08,29,25,16,32,5/4/2013
35,04,15,01,10,38,5/7/2013
07,37,02,22,24,10,5/9/2013
09,01,31,34,14,20,5/11/2013
41,03,09,40,35,04,5/14/2013
13,07,24,22,11,03,5/16/2013
42,28,29,30,07,38,5/18/2013
11,35,22,34,31,04,5/21/2013
34,26,16,29,18,27,5/23/2013
32,20,27,04,24,16,5/25/2013
05,04,10,21,03,16,5/28/2013
04,31,13,30,08,32,5/30/2013
22,09,34,14,28,27,6/1/2013
34,15,31,33,04,11,6/4/2013
22,13,05,19,25,10,6/6/2013
22,21,27,33,07,30,6/8/2013
19,28,30,20,04,39,6/11/2013
33,09,30,18,14,22,6/13/2013
21,23,38,34,06,33,6/15/2013
35,32,24,36,19,28,6/18/2013
23,27,19,13,37,32,6/20/2013
17,01,35,04,14,07,6/22/2013
11,26,32,07,36,33,6/25/2013
38,27,32,35,22,08,6/27/2013
26,35,39,08,38,28,6/29/2013
25,07,27,08,16,10,7/2/2013
14,20,37,08,13,39,7/4/2013
13,20,23,25,27,28,7/6/2013
29,39,11,15,07,21,7/9/2013
15,27,08,16,37,14,7/11/2013
07,34,26,12,23,38,7/13/2013
24,29,01,27,03,42,7/16/2013
05,29,34,35,10,27,7/18/2013
09,08,38,03,36,02,7/20/2013
12,42,31,32,06,13,7/23/2013
25,22,21,04,19,07,7/25/2013
29,36,30,16,39,41,7/27/2013
30,27,14,10,35,20,7/30/2013
11,42,05,10,27,22,8/1/2013
06,41,14,37,40,35,8/3/2013
41,07,04,38,13,29,8/6/2013
20,40,29,24,07,08,8/8/2013
39,40,11,19,30,35,8/10/2013
19,08,30,40,15,18,8/13/2013
37,13,40,08,30,11,8/15/2013
37,11,25,35,08,32,8/17/2013
15,30,42,35,16,13,8/20/2013
01,10,18,08,06,42,8/22/2013
01,38,40,29,22,25,8/24/2013
39,18,38,02,35,16,8/27/2013
17,09,42,29,34,36,8/29/2013
20,05,41,35,02,28,8/31/2013
38,36,39,01,22,16,9/3/2013
31,11,35,06,40,23,9/5/2013
21,29,32,27,40,24,9/7/2013
16,13,15,17,36,28,9/10/2013
25,12,40,08,24,23,9/12/2013
01,34,09,28,31,30,9/14/2013
05,27,32,36,22,09,9/17/2013
38,37,21,42,16,35,9/19/2013
39,02,20,08,25,05,9/21/2013
31,11,33,34,22,14,9/24/2013
01,03,26,04,27,19,9/26/2013
26,40,38,18,02,35,9/28/2013
14,07,17,32,03,23,10/1/2013
09,31,11,38,33,18,10/3/2013
06,01,31,23,13,11,10/5/2013
04,24,31,37,03,19,10/8/2013
27,09,16,35,42,19,10/10/2013
09,37,06,39,36,13,10/12/2013
15,19,27,06,09,26,10/15/2013
25,35,39,18,23,40,10/17/2013
15,11,19,33,18,07,10/19/2013
21,38,35,15,39,10,10/22/2013
04,22,12,25,20,21,10/24/2013
29,20,28,35,16,11,10/26/2013
37,17,03,20,28,23,10/29/2013
07,35,14,30,06,04,10/31/2013
24,37,07,30,25,01,11/2/2013
32,17,30,08,20,11,11/5/2013
18,22,41,04,19,20,11/7/2013
28,30,02,03,08,42,11/9/2013
32,16,24,03,05,25,11/12/2013
14,39,15,18,42,04,11/14/2013
30,03,17,41,26,02,11/16/2013
32,26,10,40,41,36,11/19/2013
28,32,38,36,14,16,11/21/2013
18,35,17,40,15,30,11/23/2013
22,15,02,34,01,36,11/26/2013
32,10,12,08,20,26,11/28/2013
33,40,01,07,24,42,11/30/2013
03,23,06,15,20,25,12/3/2013
29,41,17,26,09,04,12/5/2013
30,02,11,16,18,03,12/7/2013
42,12,21,38,19,25,12/10/2013
37,18,04,32,15,21,12/12/2013
27,04,38,13,03,11,12/14/2013
18,01,10,34,24,35,12/17/2013
17,05,30,10,36,12,12/19/2013
25,02,38,04,32,34,12/21/2013
01,41,24,16,20,15,12/24/2013
29,41,20,36,40,03,12/26/2013
16,11,34,41,31,03,12/28/2013
29,14,41,19,38,37,12/31/2013
16,14,04,15,39,10,1/2/2014
18,26,07,33,40,06,1/4/2014
06,32,25,38,10,41,1/7/2014
21,13,19,27,20,23,1/9/2014
38,22,21,34,19,16,1/11/2014
08,24,37,42,36,14,1/14/2014
12,29,11,33,22,36,1/16/2014
08,27,25,03,41,26,1/18/2014
10,37,19,12,03,32,1/21/2014
09,03,11,22,40,15,1/23/2014
07,24,34,22,20,35,1/25/2014
31,19,27,17,20,12,1/28/2014
04,07,19,40,09,33,1/30/2014
11,21,12,04,20,08,2/1/2014
23,08,28,09,24,33,2/4/2014
01,09,32,37,33,05,2/6/2014
09,19,11,22,16,06,2/8/2014
22,41,35,20,29,42,2/11/2014
11,25,21,39,41,05,2/13/2014
34,31,16,03,29,12,2/15/2014
30,26,21,16,32,05,2/18/2014
08,06,20,35,26,10,2/20/2014
27,32,38,16,34,08,2/22/2014
32,40,06,21,37,14,2/25/2014
16,38,28,15,19,24,2/27/2014
29,21,03,04,02,31,3/1/2014
24,35,25,03,30,34,3/4/2014
04,26,21,39,09,10,3/6/2014
02,11,01,03,37,22,3/8/2014
25,40,38,12,06,34,3/11/2014
15,20,21,23,01,05,3/13/2014
26,22,25,04,19,12,3/15/2014
14,10,19,21,24,20,3/18/2014
10,16,08,11,13,32,3/20/2014
01,21,28,42,35,30,3/22/2014
06,15,05,18,24,27,3/25/2014
12,27,34,41,31,05,3/27/2014
07,13,23,29,32,16,3/29/2014
27,08,04,40,33,12,4/1/2014
01,36,23,31,03,25,4/3/2014
21,31,02,14,25,09,4/5/2014
05,30,37,02,28,14,4/8/2014
42,19,27,02,07,41,4/10/2014
33,13,40,28,39,41,4/12/2014
15,30,03,31,18,01,4/15/2014
11,33,05,22,30,41,4/22/2014
37,17,31,01,34,42,4/24/2014
18,20,27,26,32,13,4/26/2014
20,06,11,39,05,42,4/29/2014
34,40,29,41,37,28,5/1/2014
19,12,27,14,22,18,5/3/2014
33,41,20,12,03,10,5/6/2014
26,08,37,01,23,21,5/8/2014
34,29,19,24,22,13,5/10/2014
40,19,05,29,15,16,5/13/2014
39,07,20,27,42,10,5/15/2014
02,34,28,21,14,27,5/17/2014
19,34,26,14,20,18,5/20/2014
16,14,20,17,12,06,5/22/2014
38,41,11,31,18,05,5/24/2014
13,42,21,38,40,17,5/27/2014
10,05,12,30,04,31,5/29/2014
14,18,02,39,30,27,5/31/2014
23,28,09,04,05,17,6/3/2014
35,14,22,23,08,04,6/5/2014
31,17,30,38,33,26,6/7/2014
39,41,28,10,15,25,6/10/2014
04,33,17,27,41,23,6/12/2014
05,15,11,08,37,01,6/14/2014
33,38,24,14,27,18,6/17/2014
33,30,32,35,05,06,6/19/2014
21,38,14,12,17,26,6/21/2014
26,04,23,05,36,29,6/24/2014
30,16,18,31,13,27,6/26/2014
27,01,29,04,06,18,6/28/2014
39,22,30,06,32,37,7/1/2014
40,30,06,04,02,22,7/3/2014
39,21,11,27,08,37,7/5/2014
17,26,38,15,04,37,7/8/2014
